Date,Opponent,Total FG Attempted,Total FG Made,Total FG Percentage,3pt FG Attempted,3pt FG Made,3pt FG Percentage
2016-12-28 00:00:00,Toronto Raptors,18,9,50.00%,6,3,0.5
2017-10-25 00:00:00,Toronto Raptors,20,9,45.00%,11,4,0.36363636363636365
2018-01-13 00:00:00,Toronto Raptors,12,6,50.00%,7,2,0.2857142857142857
2010-02-19 00:00:00,Utah Jazz,9,4,44.44%,6,3,0.5
2010-03-31 00:00:00,Utah Jazz,16,6,37.50%,4,1,0.25
2010-04-13 00:00:00,Utah Jazz,15,5,33.33%,4,1,0.25
2010-11-05 00:00:00,Utah Jazz,17,7,41.18%,4,1,0.25
2011-01-30 00:00:00,Utah Jazz,18,10,55.56%,8,3,0.375
2011-02-16 00:00:00,Utah Jazz,7,1,14.29%,3,,
2012-02-02 00:00:00,Utah Jazz,14,10,71.43%,5,2,0.4
2012-12-26 00:00:00,Utah Jazz,18,7,38.89%,7,4,0.5714285714285714
2013-02-19 00:00:00,Utah Jazz,22,12,54.55%,9,4,0.4444444444444444
2013-04-07 00:00:00,Utah Jazz,19,8,42.11%,9,4,0.4444444444444444
2013-11-16 00:00:00,Utah Jazz,20,7,35.00%,5,,
2013-11-18 00:00:00,Utah Jazz,15,7,46.67%,7,4,0.5714285714285714
2014-01-31 00:00:00,Utah Jazz,26,14,53.85%,13,8,0.6153846153846154
2014-04-06 00:00:00,Utah Jazz,18,12,66.67%,10,5,0.5
2014-11-21 00:00:00,Utah Jazz,9,3,33.33%,6,2,0.3333333333333333
2015-01-13 00:00:00,Utah Jazz,15,10,66.67%,8,4,0.5
2015-01-30 00:00:00,Utah Jazz,22,10,45.45%,11,5,0.45454545454545453
2015-03-21 00:00:00,Utah Jazz,18,8,44.44%,6,3,0.5
2015-11-30 00:00:00,Utah Jazz,20,9,45.00%,8,4,0.5
2015-12-23 00:00:00,Utah Jazz,14,5,35.71%,8,2,0.25
2016-03-09 00:00:00,Utah Jazz,11,3,27.27%,8,2,0.25
2016-03-30 00:00:00,Utah Jazz,23,11,47.83%,10,5,0.5
2016-12-08 00:00:00,Utah Jazz,16,7,43.75%,9,3,0.3333333333333333
2016-12-20 00:00:00,Utah Jazz,18,8,44.44%,9,4,0.4444444444444444
